"","ProcessName","Metric","Description","Units","Value","StdDev","ProcessGroup"
"31","Aluminum Precipitation","Effluent P concentration","Residual soluble phosphorus concentrations; The full-scale plants compared in the paper are Noman Cole (Fairfax, Virginia) and Blue Plains (Washington D.C.); based on 3 years of data (minimum)","mg/L P",NA,NA,"Precipitation"
"32","Aluminum Precipitation","Effluent NH3-NH4 concentration","Effluent ammonia-nitrogen of chemical removal for full scale (Scenario #2); The concentration of ammonia-nitrogen in the effluent from the functional unit","mg/L N",0.73,0.658179306876174,"Precipitation"
"33","Aluminum Precipitation","Effluent TN concentration","Effluent total nitrogen of chemical removal for full scale (Scenario #2); The concentration of total nitrogen in the effluent from the functional unit","mg/L N",NA,NA,"Precipitation"
"34","Ammonia-Oxidizing Microbial Electrolysis Cell","NH3-NH4 removal rate","flow rate of 1 L/d and operation time was 42 days","kg N/m^3/d",0.0263333333333333,6.02081132406589,"Microbial Electrolysis Cell"
"35","Ammonia-Oxidizing Microbial Electrolysis Cell","NH3-NH4 removal efficiency","flow rate of 1 L/d and operation time was 42 days","%",22.6666666666667,7.90569415042095,"Microbial Electrolysis Cell"
"36","Ammonia-Oxidizing Microbial Electrolysis Cell","Energy consumption for N removal","flow rate of 0.5 L/d and operation time was 27 days","MJ/kg N",0.468,0.3,"Microbial Electrolysis Cell"
"37","Anaerobic-Anoxic-Oxic Sequencing Batch Sidestream Phosphorus Recovery (AAO-SBSPR)","PO4 removal efficiency","Removal efficiency of phosphate through system; for all phases; from Figure 6","%",98,1.4142135623731,"Conventional EBPR"
"38","Anaerobic-Anoxic-Oxic Sequencing Batch Sidestream Phosphorus Recovery (AAO-SBSPR)","TN removal efficiency","Removal efficiency of total nitrogen through system (start up)","%",75.9,2.83357842077221,"Conventional EBPR"
"39","Anaerobic-Anoxic-Oxic Sequencing Batch Sidestream Phosphorus Recovery (AAO-SBSPR)","NH3-NH4 removal efficiency","Removal efficiency of ammonia through the system; from Figure 6 (phase 1)","%",96.4,2.31840462387366,"Conventional EBPR"
"40","Anaerobic Fluidized Bed Microbial Fuel Cell","NH3-NH4 removal efficiency","Maximum ammonium removal efficiency observed in the experiment; (observed at Cl = 6500 mg/L)","%",52.7,0,"Microbial Fuel Cell"
"41","Anaerobic Fluidized Bed Microbial Fuel Cell","Effluent NH3-NH4 concentration","Minimum effluent NH4-N observed during the experiment; (observed at Cl = 6500 mg/L)","mg/L N",107.8,0,"Microbial Fuel Cell"
"42","Anaerobic Oxic Enhanced Biological Phosphorus Removal (AO EBPR)","Effluent NO3 concentration","Effluent nitrate from reactor","mg/L N",11.93,0.754983443527075,"Conventional EBPR"
"43","Anaerobic Oxic Enhanced Biological Phosphorus Removal (AO EBPR)","N removal efficiency","Total nitrogen removal through reactor","%",57.2,0,"Conventional EBPR"
"44","Anaerobic Oxic Enhanced Biological Phosphorus Removal (AO EBPR)","Effluent PO4 concentration","Effluent soluble orthophosphate from reactor. Phosphorus that was not taken up during the aerobic cycle","mg/L P",0.825028376964012,0.608276253029822,"Conventional EBPR"
"45","Anaerobic Oxic Enhanced Biological Phosphorus Removal (AO EBPR)","PO4 removal efficiency","Removal efficiency of soluble orthophosphate from reactor","%",83.1,1.58113883008419,"Conventional EBPR"
"46","Anaerobic Oxic Enhanced Biological Phosphorus Removal (AO EBPR)","Effluent NH3-NH4 concentration","Effluent ammonia from reactor","mg/L N",1.22,0.768114574786861,"Conventional EBPR"
"47","Anaerobic Oxic Enhanced Biological Phosphorus Removal (AO EBPR)","Effluent NO2 concentration","Effluent nitrite from reactor","mg/L N",0.12,0.2,"Conventional EBPR"
"48","Anaerobic Oxic Enhanced Biological Phosphorus Removal (AO EBPR)","Effluent P concentration","Phosphorus at the end of the anaerobic phase (Influent NO3 of 0 mg/L) (maximum)","mg/L P",10.7261841459639,10.4436415433119,"Conventional EBPR"
"49","Bardenpho","Effluent TN concentration","Effluent total nitrogen goal, case 2 and 3 (AS)","mg/L N",NA,NA,"Conventional EBPR"
"50","Bardenpho","Effluent NH3-NH4 concentration","Effluent ammonia, Plant C, unclear if as NH3 or N (min)","mg/L N",2.87710645293876,2.26140552260411,"Conventional EBPR"
"51","Bio-electrocoagulation","Effluent NO3 concentration","From MBR (minimum)","mg/L N",3650,173.205080756888,"Bio-electrocoagulation"
"52","Biocathode Coupled Photoelectrochemical Cell","NH3-NH4 removal efficiency","Within 4 h of Bio-PEC operation, almost 34% of the NH4+<U+E0D5>N in the medium (78 mg/L) was oxidized to NO3-<U+E0D5>N (26.9 mg/L).","%",34,0,"Microbial Fuel Cell"
"53","Bioelectrochemical Membrane Reactor (BEMR)","TN removal efficiency","At HRT of 150 min and external resistance of 100 ohm (run 7)","%",45,18.3797896252016,"Microbial Fuel Cell"
"54","Bioelectroconcentration","NH3-NH4 removal rate","R2 mode (NH4-N)","kg N/m^3/d",NA,0,"Bio-electrodialysis"
"55","Bioelectroconcentration","NH3-NH4 removal efficiency","R2 mode","%",59.7,1.57162336455017,"Bio-electrodialysis"
"56","Bioelectroconcentration","NH3-NH4 recovery rate","R2 mode (NH4-N)","kg N/m^3/d",NA,0,"Bio-electrodialysis"
"57","Bioelectroconcentration","NH3-NH4 recovery efficiency","R2 mode","%",49.5,1.34164078649987,"Bio-electrodialysis"
"58","Bioelectroconcentration","PO4 recovery rate","R2 mode (PO4-P)","kg P/m^3/d",NA,0,"Bio-electrodialysis"
"59","Bioelectroconcentration","PO4 recovery efficiency","R2 mode","%",42.8,1,"Bio-electrodialysis"
"60","Bioelectroconcentration","Energy consumption for N recovery","R2 mode (NH4-N)","MJ/kg N",8.568,0,"Bio-electrodialysis"
"61","Biological-Chemical Phosphorus and Nitrogen Removal (BCFS)","TN removal efficiency","Total N removal through process","%",75,9.24783758507906,"Conventional EBPR"
"62","Biological-Chemical Phosphorus and Nitrogen Removal (BCFS)","TP removal efficiency","Total P removal through process","%",90.9333333333333,1.93713706278118,"Conventional EBPR"
"63","Biological-Chemical Phosphorus and Nitrogen Removal (BCFS)","Effluent PO4 concentration","Effluent orthophosphate (soluble P) from the plant (Holten); less than value listed","mg/L P",0.4,0,"Conventional EBPR"
"64","Biological-Chemical Phosphorus and Nitrogen Removal (BCFS)","PO4 recovery efficiency","Potential phosphate recovery from the P stripper as predicted by the model (Case 1)","%",51.6666666666667,3.15871809441741,"Conventional EBPR"
"65","Biological Aerated Filter","NH3-NH4 removal efficiency","Average ammoniacal nitrogen removal; This value is significantly affected by iron chemical dosing in BAF. 99.5% is reduced to 98.7%.","%",84.8826086956522,19.8491155058263,"Biological Filter"
"66","Biological Aerated Filter","TP removal efficiency","This value is greatly enhanced by chemical dosing in BAF. The efficiency is increased from 35.5% to 85.3%. The stability of phosphorus removal efficiency increased with increasing dose.","%",71.7166666666667,31.12917327157,"Biological Filter"
"67","Biological Aerated Filter","TN removal efficiency","No chemical dosing","%",74.44,12.1573023323433,"Biological Filter"
"68","Biological Aerated Filter","TKN removal efficiency","No chemical dosing","%",95.5,1.78489028607727,"Biological Filter"
"69","Biological Aerated Filter","Effluent TP concentration","Average; dosing ratio of 1:1.14 (TP:Fe)","mg/L P",1.32916666666667,0.973682721402635,"Biological Filter"
"70","Biological Aerated Filter","Effluent TN concentration","Average; Dosing ratio of 1:1.14 (TP:Fe)","mg/L N",7.955,0.578665130566315,"Biological Filter"
"71","Biological Aerated Filter","P removal efficiency","Average without chemical dosing","%",60,28.8675134594813,"Biological Filter"
"72","Biological Aerated Filter","NO3 removal rate","Usually reported removal rates based on reactor volume","kg N/m^3/d",NA,0,"Biological Filter"
"73","Biological Aerated Filter","NH3-NH4 removal rate","Usually reported removal rates based on reactor volume","kg N/m^3/d",NA,0,"Biological Filter"
"74","Biological Aerated Filter","Effluent NH3-NH4 concentration","For small medium, overall concentration","mg/L N",13.9745170571311,7.01671661138752,"Biological Filter"
"75","Bipolar Bioelectrodialysis","NH3-NH4 recovery flux","Ammonia; Batch mode at 1.2 V without gas recirculation at cathode (NH4-N)","kg N/m^2/d",NA,NA,"Bio-electrodialysis"
"76","Bipolar Bioelectrodialysis","Energy consumption for N recovery","Batch mode at 1.2 V without gas recirculation at cathode","MJ/kg N",-61.596,0,"Bio-electrodialysis"
"77","Bipolar Bioelectrodialysis","Effluent NH3-NH4 concentration","Ammonia, Final; Batch mode at 1.2 V without gas recirculation at cathode","mg/L N",800,0,"Bio-electrodialysis"
"78","Bipolar Bioelectrodialysis","NH3-NH4 recovery efficiency","Ammonia; Batch mode at 1.2 V without gas recirculation at cathode","%",87.5,2.88675134594813,"Bio-electrodialysis"
"79","Bipolar Bioelectrodialysis","N recovery efficiency","Cattle manure; greater than value listed","%",94,0,"Bio-electrodialysis"
"80","Bipolar Electrodialysis with Bipolar Membrane","Energy consumption for P recovery","(at current density of 10 mA/sq-cm)","MJ/kg P",197.063814013562,157.8379367421,"Electrodialysis"
"81","Bipolar Electrodialysis","Effluent N concentration","Diluate concentration with feed flow rate of 0.96 L/h","mg/L N",360,0,"Electrodialysis"
"82","Bipolar Electrodialysis","Effluent P concentration","Diluate concentration with feed flow rate of 0.96 L/h","mg/L P",28.55,21.9528585837927,"Electrodialysis"
"83","Bipolar Electrodialysis","P removal efficiency","recovery or removal; After 3 HRTs of operation (10 mL/min feed flow rate)","%",81.9333333333333,13.5336617365737,"Electrodialysis"
"84","Bipolar Electrodialysis","Energy consumption for P removal","","MJ/kg P",184.361658637391,0,"Electrodialysis"
"85","Calcium Carbonate Packed Electrochemical Precipitation Column","PO4 removal efficiency","I = 0mA Conditions: particle size = 12 mm, feed rate = 2.4 L/d. Feed solution contains 10 mM Na2SO4 and 0.6 mM PO4-P with an initial pH of 7.5","%",43.4545454545455,24.843677934906,"Electrocoagulation"
"86","Calcium Carbonate Packed Electrochemical Precipitation Column","Energy consumption for P recovery","Low end","MJ/kg P",162,66.5107510106449,"Electrocoagulation"
"87","Calcium Precipitation with Electrochemical pH Adjustment","PO4 recovery efficiency","Minimum","%",82.5,14.4927568115939,"Electrocoagulation"
"88","Calcium Precipitation with Electrochemical pH Adjustment","Cost for P recovery","With an industrial energy price of 0.10 euro/kWh (assuming 100% galvanic efficiency)","$/kg P",0.303,0,"Electrocoagulation"
"89","Calcium Precipitation with Electrochemical pH Adjustment","P removal efficiency","At pH of 4.0 (with synthetic wastewater)","%",56.3833333333333,9.3553498827447,"Electrocoagulation"
"90","Calcium Precipitation","P recovery efficiency","Precipitation from anaerobic digester supernatant at pH 8.5-9.0, Mg:P of 1.5:1, and 1 hour retention time of precipitated material, giving powdery/amorph product (minimum)","%",91,6.18593034763036,"Precipitation"
"91","Calcium Precipitation","Cost for P recovery","DHV Crystalactor for digester supernatant (Figure 12)","$/kg P",6.9375,0.320429399400265,"Precipitation"
"92","Calcium Precipitation","P removal efficiency","Higher efficiencies observed (maximum)","%",72.5,19.832633040858,"Precipitation"
"93","CANDO+P (Coupled anaerobic-anoxic nitrous decomposition operation with phosphorus removal)","N recovery efficiency","Acetate; N2O conversion efficiency","%",74.75,6.99833313487339,"CANDO"
"94","CANDO+P (Coupled anaerobic-anoxic nitrous decomposition operation with phosphorus removal)","N recovery rate (bio)","Acetate; Maximum specific N2O production rate","mg N/g VSS/h",5.3,1.73685539601507,"CANDO"
"95","CANDO+P (Coupled anaerobic-anoxic nitrous decomposition operation with phosphorus removal)","P removal efficiency","Acetate","%",58.05,20.8423447177455,"CANDO"
"96","CANDO+P (Coupled anaerobic-anoxic nitrous decomposition operation with phosphorus removal)","NO2 removal efficiency","Acetate; Nitrite removal efficiency; greater than the value listed","%",98,0,"CANDO"
"97","Capacitive Membrane Stripping System (CapAmm)","NH3-NH4 removal efficiency","Ammonia; At 5 wt% carbon content, 6.8 A/sq-m and HRT of 1.48 min; for synthetic domestic WW; from graph","%",85,2,"Capacitive Deionization"
"98","Capacitive Membrane Stripping System (CapAmm)","NH3-NH4 recovery efficiency","Ammonia; At 5 wt% carbon content, 6.8 A/sq-m and HRT of 1.48 min; for synthetic domestic WW","%",59.4,12.2896265457873,"Capacitive Deionization"
"99","Capacitive Membrane Stripping System (CapAmm)","Energy consumption for N recovery","At 5 wt% carbon content, 6.8 A/sq-m and HRT of 1.48 min; for synthetic domestic WW; from graph","MJ/kg N",70.47,26.2393795658358,"Capacitive Deionization"
"100","Capacitive Membrane Stripping System (CapAmm)","NH3-NH4 recovery flux","Across FGM; At 5 wt% carbon content, 6.8 A/sq-m and HRT of 1.48 min; for synthetic domestic WW; from graph","kg N/m^2/d",NA,NA,"Capacitive Deionization"
"101","Capacitive Membrane Stripping System (CapAmm)","Effluent NH3-NH4 concentration","Ammonium; Steady-state; For all absorbents (phosphoric acid, sulfuric acid, nitric acid, hydrochloric acid, carbonic acid, water); less than value listed","mg/L N",3.5,1.73205080756888,"Capacitive Deionization"
"102","Capacitive Membrane Stripping System (CapAmm)","Cost for N recovery","Net cost; Including operation and chemical costs and product profits; for sulfuric acid absorbent","$/kg N",0.95,1.72982245166541,"Capacitive Deionization"
"103","Coimmobilized Microalgae with Bacteria","NH3-NH4 removal efficiency","Batch culture (Coimmobilized, after 2 days)","%",86.1,16.001578204993,"Bacterial-algal flocs"
"104","Coimmobilized Microalgae with Bacteria","P removal efficiency","Batch culture conditions (Coimmobilized, after 2 days)","%",35.8571428571429,30.7174488958095,"Bacterial-algal flocs"
"105","Coimmobilized Microalgae with Bacteria","NO3 removal efficiency","C. vulgaris with A. brasilense (best values reported here)","%",23.45,8.0251687417358,"Bacterial-algal flocs"
"106","Column Stripping and Absorption","N recovery efficiency","After 77 hours of batch operation","%",43,46.1880215351701,"Stripping and Absorption"
"107","Column Stripping and Absorption","N removal rate","After 77 hours of batch operation","kg N/m^3/d",4.25,3.86824680357049,"Stripping and Absorption"
"108","Column Stripping and Absorption","N recovery rate","After 77 hours of batch operation","kg N/m^3/d",2.35,2.02072594216369,"Stripping and Absorption"
"109","Column Stripping and Absorption","NH3-NH4 removal efficiency","Ammonia; Maximum achieved (at pH 10.5, air to liquid ratio of 1875, 323 K)","%",86.9,6.79209098878981,"Stripping and Absorption"
"110","Column Stripping and Absorption","TN removal efficiency","Total nitrogen; At pH 10.5, air to liquid ratio of 1875, 323 K","%",80,0,"Stripping and Absorption"
"111","Column Stripping and Absorption","PO4 removal efficiency","Phosphate; At optimum calcium hydroxide dose of 27.5 g/L, after 48 hours of settling without stripping","%",99.9,0,"Stripping and Absorption"
"112","Column Stripping and Absorption","Effluent NH3-NH4 concentration","Ammonia; At optimum calcium hydroxide dose of 27.5 g/L, after 48 hours of settling; from Figure 4","mg/L N",260,277.12812921102,"Stripping and Absorption"
"113","Column Stripping and Absorption","Effluent PO4 concentration","Orthophosphate; At optimum calcium hydroxide dose of 27.5 g/L, after 48 hours of settling; from Figure 4","mg/L P",0.8,0,"Stripping and Absorption"
"114","Comammox","NH3-NH4 removal rate","Average NH4+ Removal rate; From days 0 to 366, removal rate in full scale system.","kg N/m^3/d",0.04135,0.0111727048351477,"Comammox"
"115","Coupled Aerobic-Anoxic Nitrous Decomposition Operation (CANDO)","N recovery efficiency","N conversion to N2O For coupled feeding, minimum","%",52.1666666666667,31.1792055245617,"CANDO"
"116","Coupled Aerobic-Anoxic Nitrous Decomposition Operation (CANDO)","N removal efficiency","For de-coupled feeding","%",98,0,"CANDO"
"117","Coupled Aerobic-Anoxic Nitrous Decomposition Operation (CANDO)","NO2 removal efficiency","Between cycles 43 and 56","%",75.7,24.8028224200392,"CANDO"
"118","Coupled Aerobic-Anoxic Nitrous Decomposition Operation (CANDO)","Effluent NO2 concentration","Phase A (startup)","mg/L N",15.39,17.3268974429931,"CANDO"
"119","Coupled Aerobic-Anoxic Nitrous Decomposition Operation (CANDO)","Effluent NO3 concentration","Phase A (startup); less than value listed","mg/L N",0.38,0.414909628714495,"CANDO"
"120","Coupled Aerobic-Anoxic Nitrous Decomposition Operation (CANDO)","Effluent NH3-NH4 concentration","Phase A (startup)","mg/L N",51.1333333333333,8.65427206644212,"CANDO"
"121","Coupled Aerobic-Anoxic Nitrous Decomposition Operation (CANDO)","NO2 removal rate","For NO2 Applying N2O Accumulation; Phase A","kg N/m^3/d",0.083136,0.700445955850033,"CANDO"
"122","Denitrification Filter","Effluent TN concentration","At dose of 40 mg/L COD, 0 mm fill depth; 1200 mm fill depth","mg/L N",4.965,0.606217782649109,"Biological Filter"
"123","Denitrification Filter","Effluent NO3 concentration","At dose of 40 mg/L COD, 0 mm fill depth; 1200 mm fill depth","mg/L N",4.075,0.536935750346349,"Biological Filter"
"124","Denitrification Filter","NO3 removal efficiency","At dose of 40 mg/L COD","%",82.94,2.32163735324878,"Biological Filter"
"125","Denitrification Filter","NH3-NH4 removal efficiency","At dose of 40 mg/L COD","%",41.73,3.01164406927512,"Biological Filter"
"126","Denitrification Filter","TN removal efficiency","At dose of 40 mg/L COD","%",77.33,2.38746727726266,"Biological Filter"
"127","Denitrification Filter","Effluent NH3-NH4 concentration","At dose of 40 mg/L COD; no significant variation with depth of fill","mg/L N",0.93,0,"Biological Filter"
"128","Denitrification Filter","Effluent NO2 concentration","At dose of 40 mg/L COD; no significant variation with depth of fill","mg/L N",0.25,0,"Biological Filter"
"129","Denitrifying Fuel Cell","TN removal efficiency","Proportion of initial TN that has been treated; for real urine","%",98.6,0,"Microbial Fuel Cell"
"130","Denitrifying Fuel Cell","Effluent TN concentration","For real urine; after 3 hours","mg/L N",0.895,0,"Microbial Fuel Cell"
"131","Denitrifying Fuel Cell","TN removal rate","For real urine","kg N/m^3/d",NA,0,"Microbial Fuel Cell"
"132","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","Effluent TKN concentration","Average TKN leaving system","mg/L N",5,0,"Denitrifying PAOs"
"133","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","Effluent NH3-NH4 concentration","Average NH4-N leaving system","mg/L N",4.325,2.91970318126118,"Denitrifying PAOs"
"134","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","Effluent NO2 concentration","Average nitrite leaving system","mg/L N",0.31,0,"Denitrifying PAOs"
"135","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","Effluent NO3 concentration","Average nitrate leaving system","mg/L N",20.6,0,"Denitrifying PAOs"
"136","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","Effluent TP concentration","Average TP leaving system","mg/L P",0.9,0,"Denitrifying PAOs"
"137","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","Effluent PO4 concentration","Average PO4-P leaving system","mg/L P",0.5,0,"Denitrifying PAOs"
"138","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","NH3-NH4 removal efficiency","Average ammonia removal efficiency through each system, DEPHANOX case 1","%",92.2125,11.6104359186993,"Denitrifying PAOs"
"139","Denitrifying Phosphorus Accumulating Organisms (DPAOs)","PO4 removal efficiency","Average phosphate removal efficiency through each system, DEPHANOX case 1","%",31.5375,28.7872905157484,"Denitrifying PAOs"
"140","Denitrifying Sulfur Cycle-Associated EBPR (DS-EBPR)","P removal efficiency","Removal of P through the system at different temperatures (at 20°C (Stage 2))","%",60.2666666666667,19.3798496234767,"Sulfur-based nutrient removal"
"141","Denitrifying Sulfur Cycle-Associated EBPR (DS-EBPR)","NO3 removal rate","Consumption of nitrate through reactor (Stage 2)","kg N/m^3/d",0.075,0.0224999999999999,"Sulfur-based nutrient removal"
"142","Denitrifying Sulfur Cycle-Associated EBPR (DS-EBPR)","P removal rate","P removal in system (Stage 2)","kg P/m^3/d",NA,NA,"Sulfur-based nutrient removal"
"143","Diffuser-Aerated Microbial Fuel Cell (MFC)","NH3-NH4 removal efficiency","Ammonia removal efficiency; DO of 2 mg/L","%",92.5,7.50555349946513,"Microbial Fuel Cell"
"144","Diffuser-Aerated Microbial Fuel Cell (MFC)","TIN removal efficiency","Total inorganic nitrogen removal efficiency; DO of 2 mg/L","%",21,3.46410161513775,"Microbial Fuel Cell"
"145","Direct Electrochemical Ammonia Oxidation","NH3-NH4 removal rate","Ammonia; Real stored urine","kg N/m^3/d",NA,0.547722557505166,"Oxidation Processes"
"146","Direct Electrochemical Ammonia Oxidation","Effluent NO3 concentration","Real stored urine; reported as ND but detection limit not reported","mg/L N",0,0,"Oxidation Processes"
"147","Direct Electrochemical Ammonia Oxidation","Effluent NO2 concentration","Real stored urine; less than value listed","mg/L N",0.3,0,"Oxidation Processes"
"148","Direct Electrochemical Ammonia Oxidation","Energy consumption for N removal","Real stored urine","MJ/kg N",151.2,0,"Oxidation Processes"
"149","Divided Cell Attached Growth Bioelectrochemical Reactor","Effluent NO3 concentration","Nitrate concentration in denitrified effluent; Phase I","mg/L N",3.1,1.02143689640297,"Microbial Electrolysis Cell"
"150","Divided Cell Attached Growth Bioelectrochemical Reactor","N removal efficiency","Phase I","%",52,9.31678592648773,"Microbial Electrolysis Cell"
"151","Divided Cell Attached Growth Bioelectrochemical Reactor","Effluent NH3-NH4 concentration","Ammonia in denitrified effluent; Phase III","mg/L N",31,2.12132034355964,"Microbial Electrolysis Cell"
"152","Electro-fermentation","TP recovery efficiency","Amount that was released from sludge into the supernatant, and that could be precipitated later. (in EF-3 reactor)","%",57.5,0,"Microbial Electrolysis Cell"
"153","Electro-fermentation","Effluent NH3-NH4 concentration","NH4 concentration in anolyte after 6 days (EF-1); estimated from Figure 3","mg/L N",33.3333333333333,6.61437827766146,"Microbial Electrolysis Cell"
"154","Electro-fermentation","NH3-NH4 removal efficiency","NH4 in cathode chamber; Of the ammonia released in supernatant, this percentage migrated into cathode chamber and could easily be recovered","%",75,0,"Microbial Electrolysis Cell"
"155","Electrochemical Nitrate Reduction","NO3 removal efficiency","Amount of nitrate remaining relative to initial amount (lowest value)","%",54.5,51.3841739578767,"Reduction Processes"
"156","Electrochemical Process with Column Stripping and Absorption","NH3-NH4 removal efficiency","At current density of 10 A/sq-m","%",61.0333333333333,18.4979767233377,"Electrodialysis with stripping and absorption"
"157","Electrochemical Process with Column Stripping and Absorption","Energy consumption for N removal","For electrochemical process only and not include stripping/absorption at current density of 10 A/sq-m","MJ/kg N",45.78,28.1507531997687,"Electrodialysis with stripping and absorption"
"158","Electrochemical Process with Column Stripping and Absorption","N removal flux","From anode to cathode at current density of 30 A/sq-m","kg N/m^2/d",NA,1.4142135623731,"Electrodialysis with stripping and absorption"
"159","Electrochemical Process with Column Stripping and Absorption","TN recovery efficiency","","%",57,0.707106781186548,"Electrodialysis with stripping and absorption"
